,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,BABA,NOW,ADBE,CRM,V,KO,PFE,PEP,INTC,CSCO,IBM,NFLX,ORCL
AAPL,0.008854886266987808,0.004029551840040657,0.003829269437715646,0.006007827592290397,0.004722643546728864,0.009095968721050582,0.012313006509054128,0.0010926829685873709,0.004202555479610842,0.005618966352867188,0.005434075822872383,0.003578028770300555,0.0012662788776778688,0.002135567979283752,0.0016764462677618184,0.0028257945322845337,0.0034199670753219365,0.002211562502426491,0.005130589991062778,0.0035792661796671035
MSFT,0.004029551840040657,0.003866816655799712,0.0033806700322712158,0.004223714334015831,0.003729598132255514,0.006109035504488527,0.007354887575130274,0.0026307969695715653,0.0032971851147031374,0.0043459793073351086,0.003916239792328378,0.002303480954491004,0.0011461287606438085,0.0014875960993668007,0.0014279263244264275,0.002232001899804719,0.0023933123487367386,0.001539383208423019,0.0037310949946093635,0.002704769882630987
GOOGL,0.003829269437715646,0.0033806700322712158,0.00542626238927336,0.0042554840282357665,0.004304157496339133,0.005957502929115654,0.0074879471960673325,0.002591986522096069,0.0036255235830071953,0.0037108898081128394,0.0042295504121657055,0.002613499541202405,0.0016358961617158703,0.001740318024638173,0.001361531528946345,0.002155131747642042,0.0024962574172891216,0.002325705785196661,0.0034724455581239782,0.002773395766508465
AMZN,0.006007827592290397,0.004223714334015831,0.0042554840282357665,0.009011412721470515,0.005126666806457822,0.00792382921238102,0.010761510277552523,0.0017369930590682141,0.004279880326470988,0.005031743946757955,0.005307616068819667,0.002616404027342235,0.0004222563990513463,0.0020798913068470217,0.001120452908435682,0.0016739825190719077,0.0029872227136838636,0.002003768824206089,0.007076898132431104,0.002942541088439603
META,0.004722643546728864,0.003729598132255514,0.004304157496339133,0.005126666806457822,0.012701893525586335,0.007068429183998805,0.0076971926819519275,0.006860357448517365,0.0037568339221150217,0.0049301170096397,0.0038034790373784773,0.0026786574483646216,0.0014742277856750587,0.002791121458344491,0.0012793430405941212,0.0018669457459943287,0.002790316856936928,0.0030298620806495633,0.00397090302715161,0.0021082014315095756
NVDA,0.009095968721050582,0.006109035504488527,0.005957502929115654,0.00792382921238102,0.007068429183998805,0.0197941164918508,0.012240054453957303,0.0043708464053090175,0.005302442123311017,0.008989873490544779,0.007740933091634057,0.003649201109187764,0.0005548598424689388,0.003409149587568204,0.0010528166272933755,0.00468898924232774,0.00401493877212701,0.0027071287641929793,0.009570935432099376,0.005470705780480311
TSLA,0.012313006509054128,0.007354887575130274,0.0074879471960673325,0.010761510277552523,0.0076971926819519275,0.012240054453957303,0.04724006653111173,0.002823410202578414,0.0070159258883903146,0.007660856178440386,0.012574404114978944,0.00441141094886291,0.002479938189342787,0.0028404248981547912,0.0030321406877634634,0.004573340893344515,0.002512687850817591,0.000888788895890884,0.008791713302308098,0.0032984127191624138
BABA,0.0010926829685873709,0.0026307969695715653,0.002591986522096069,0.0017369930590682141,0.006860357448517365,0.0043708464053090175,0.002823410202578414,0.01386709239975125,0.003346396453198005,0.002891727145940542,0.002840908430927588,0.0007270825591637032,0.0008030730195464906,-9.48237069892576e-06,0.0004584692325612811,0.0008694408398410405,-9.972078842346198e-05,0.0024237883132362855,0.001474697343636469,0.0009846289983994354
NOW,0.004202555479610842,0.0032971851147031374,0.0036255235830071953,0.004279880326470988,0.0037568339221150217,0.005302442123311017,0.0070159258883903146,0.003346396453198005,0.006878724034014557,0.005038113218854433,0.005038940321606859,0.00269499574553598,0.0010484720459622509,0.0012808567192391942,0.0011998948604710724,0.002248097205964948,0.0027762111060076534,0.002844382897881301,0.005490216410307138,0.002977898192444312
ADBE,0.005618966352867188,0.0043459793073351086,0.0037108898081128394,0.005031743946757955,0.0049301170096397,0.008989873490544779,0.007660856178440386,0.002891727145940542,0.005038113218854433,0.007931052472637075,0.00564127880255297,0.0035394873482422155,0.0013700583643559531,0.001863773638351125,0.0016037698250832616,0.003243576897781691,0.0030553293362282404,0.002467891835052282,0.006111638353926729,0.004461304197613306
CRM,0.005434075822872383,0.003916239792328378,0.0042295504121657055,0.005307616068819667,0.0038034790373784773,0.007740933091634057,0.012574404114978944,0.002840908430927588,0.005038940321606859,0.00564127880255297,0.009048865796818892,0.0034293121860988836,0.001030545582900235,0.0012971599566083596,0.0014421740494159558,0.0026704680707917952,0.002004654002827982,0.0023594343637121594,0.006389421186053199,0.00315379655230368
V,0.003578028770300555,0.002303480954491004,0.002613499541202405,0.002616404027342235,0.0026786574483646216,0.003649201109187764,0.00441141094886291,0.0007270825591637032,0.00269499574553598,0.0035394873482422155,0.0034293121860988836,0.004723895702111244,0.00216635184159499,0.0014587324117237145,0.0018651475338309232,0.002809745553079991,0.002884070926096398,0.003152437798771907,0.0024994500042699323,0.0029811345144041997
KO,0.0012662788776778688,0.0011461287606438085,0.0016358961617158703,0.0004222563990513463,0.0014742277856750587,0.0005548598424689388,0.002479938189342787,0.0008030730195464906,0.0010484720459622509,0.0013700583643559531,0.001030545582900235,0.00216635184159499,0.002963463545826989,0.0011517604679802571,0.002134059803669823,0.000654606205105514,0.0015000760221894405,0.0019907942140327175,-0.0004991074041315242,0.0016932729348097478
PFE,0.002135567979283752,0.0014875960993668007,0.001740318024638173,0.0020798913068470217,0.002791121458344491,0.003409149587568204,0.0028404248981547912,-9.48237069892576e-06,0.0012808567192391942,0.001863773638351125,0.0012971599566083596,0.0014587324117237145,0.0011517604679802571,0.005956692261542233,0.0016223499487093907,0.0012615811461371162,0.0027733364099615395,0.0023373246933887748,0.0012461708743255243,0.0018339761661417913
PEP,0.0016764462677618184,0.0014279263244264275,0.001361531528946345,0.001120452908435682,0.0012793430405941212,0.0010528166272933755,0.0030321406877634634,0.0004584692325612811,0.0011998948604710724,0.0016037698250832616,0.0014421740494159558,0.0018651475338309232,0.002134059803669823,0.0016223499487093907,0.0025185351225788695,0.0006987746116440941,0.0016973328681037638,0.0020403340842085203,0.0006763847320339949,0.0018770221982761994
INTC,0.0028257945322845337,0.002232001899804719,0.002155131747642042,0.0016739825190719077,0.0018669457459943287,0.00468898924232774,0.004573340893344515,0.0008694408398410405,0.002248097205964948,0.003243576897781691,0.0026704680707917952,0.002809745553079991,0.000654606205105514,0.0012615811461371162,0.0006987746116440941,0.00667131296652968,0.003174089240675284,0.0027331904251559963,0.002309779836112171,0.0025747299212434418
CSCO,0.0034199670753219365,0.0023933123487367386,0.0024962574172891216,0.0029872227136838636,0.002790316856936928,0.00401493877212701,0.002512687850817591,-9.972078842346198e-05,0.0027762111060076534,0.0030553293362282404,0.002004654002827982,0.002884070926096398,0.0015000760221894405,0.0027733364099615395,0.0016973328681037638,0.003174089240675284,0.006174245571999433,0.0033516544485937337,0.0037863634328276596,0.0034277843067574035
IBM,0.002211562502426491,0.001539383208423019,0.002325705785196661,0.002003768824206089,0.0030298620806495633,0.0027071287641929793,0.000888788895890884,0.0024237883132362855,0.002844382897881301,0.002467891835052282,0.0023594343637121594,0.003152437798771907,0.0019907942140327175,0.0023373246933887748,0.0020403340842085203,0.0027331904251559963,0.0033516544485937337,0.005918549823200029,0.0016352355087051866,0.0029326922476362485
NFLX,0.005130589991062778,0.0037310949946093635,0.0034724455581239782,0.007076898132431104,0.00397090302715161,0.009570935432099376,0.008791713302308098,0.001474697343636469,0.005490216410307138,0.006111638353926729,0.006389421186053199,0.0024994500042699323,-0.0004991074041315242,0.0012461708743255243,0.0006763847320339949,0.002309779836112171,0.0037863634328276596,0.0016352355087051866,0.014448771187025432,0.004463969590189989
ORCL,0.0035792661796671035,0.002704769882630987,0.002773395766508465,0.002942541088439603,0.0021082014315095756,0.005470705780480311,0.0032984127191624138,0.0009846289983994354,0.002977898192444312,0.004461304197613306,0.00315379655230368,0.0029811345144041997,0.0016932729348097478,0.0018339761661417913,0.0018770221982761994,0.0025747299212434418,0.0034277843067574035,0.0029326922476362485,0.004463969590189989,0.0057574158433459244
